comment_id,comment_content,comment_author_name,comment_vote_count,child_comment_count
746729628,太强了，刚开始一直在镜头以外，没想到能追上的,厕所居士,278,4
747063908,<p>这特么也太猛了吧。。进最后一个直道之前我一直以为是当时第三名那个黑人绝杀</p>,Einstein,408,1
747095654,冲线那一刻真的很nice 主要是体能控制的真好 最后还能冲起来 小小爆发一下,深夜理发师,102,1
747130925,看了好几遍才明白最后冲刺的人是从哪出来的，镜头外的绝杀,翻滚吧牛宝宝,182,0
747141234,看到最后，，，我开始了卧槽卧槽卧槽卧槽,你在干什么,96,0
747173510,只有我在关注她们的颜嘛？？[捂脸][捂脸][捂脸]感觉好几个都好好看,泓峥睿哲,190,13
747188786,<p>前面在聚氮气是不是，这后面能这么快？</p>,马哒哒哒,161,4
747250627,是啊！21世纪的运动员不再像以前，感觉男女颜值都全爆棚了,marubaba,48,0
747321391,第一遍根本没跟上她从哪冒出来的... 短跑确实刺激,Vtla,67,0
746716297,厉害,陈苏楠,9,0
746729628,太强了，刚开始一直在镜头以外，没想到能追上的,厕所居士,278,4
747043551,<p>厉害！</p>,老徐,0,0
747063908,<p>这特么也太猛了吧。。进最后一个直道之前我一直以为是当时第三名那个黑人绝杀</p>,Einstein,408,1
747090829,太猛了！,之乎者也,16,0
747095654,冲线那一刻真的很nice 主要是体能控制的真好 最后还能冲起来 小小爆发一下,深夜理发师,102,1
747130925,看了好几遍才明白最后冲刺的人是从哪出来的，镜头外的绝杀,翻滚吧牛宝宝,182,0
747141234,看到最后，，，我开始了卧槽卧槽卧槽卧槽,你在干什么,96,0
747173510,只有我在关注她们的颜嘛？？[捂脸][捂脸][捂脸]感觉好几个都好好看,泓峥睿哲,190,13
747188786,<p>前面在聚氮气是不是，这后面能这么快？</p>,马哒哒哒,161,4
747272805,厉害,Kjugdex,0,0
747321391,第一遍根本没跟上她从哪冒出来的... 短跑确实刺激,Vtla,67,0
747386983,腿长还真是硬实力……,虫二,6,0
747422185,chesus。。第一遍完全没有注意到排第四这位是咋冲上来的。。,「已注销」,13,0
747433962,我看好几遍！！！,武陵人,2,0
747496755,所以她最后的每次是？,Sonne,5,0
747530737,那个第二名的估计不知道追上来了，感觉血亏😂,Strive,13,0
747589609,哈哈哈 法国解说都有点泄气了 感觉没机会,鱼巨胖,8,1
747667794,<p>到底是2013的还是2014的？</p>,无名氏,0,1
747824840,<p>法国第一棒太美了</p>,FinnShuai,13,0
747837941,那个一直跑第一的是最后没劲儿了吗？还是她以为自己第一就没使劲跑？,一见你就笑,0,6
747840695,这大长腿,嘟嘟噜,3,0
747877802,<p>差点看哭了</p>,不灭的印记,3,0
748102228,她是不是没反应过来自己夺冠了啊？,UserName,0,0
748243240,这接力赛怎么没规定跑道么？都跑里面那个,小陈哥,1,4
748412038,表白意大利第一棒。[爱][爱],RomanticOnly,1,0
748444289,<p>400M能最后冲刺的都是怪物</p>,穷穷三皮,17,2
748510912,视频从第3:16开始跑。,哈哈,5,1
748513140,特地系鞋带，给长久特写，耐克不得了,张蔚恪,5,0
748523286,"<p>我的关注点在开始她绑鞋带</p><a class=""comment_sticker"" href=""https://pic2.zhimg.com/v2-5cc3f8dc72f94dc7e30391d104ec5319.gif"" data-width="""" data-height="""">[疑惑]</a>",一人,2,0
748606396,<p>要是有弹幕就不用盯着前三名瞅那么半天了，合着C位是在镜头外面 </p>,tode309,3,0
748636745,"<p>只有我一个人担心她们的小裤衩吗？？</p><a class=""comment_sticker"" href=""https://pic2.zhimg.com/v2-f4bcc55c40efedc78401a3b6c59e50e5.gif"" data-width="""" data-height="""">[吃惊]</a>",睿武端毅弘文,5,0
748647522,<p>只有我一个人好奇第一个姑娘双手拍脸时那根接力棒放在哪里了吗？</p>,罐头,5,4
748698798,虽然都很健硕，但是却保持了女性的美感！体育的出发点应该就是这样、而不是把运动员都练成粗狂的野兽,谭石子,6,1
748722063,这女的是人吗，跪了,史先生,2,0
748736663,<p>身材真好</p>,宇文亮,0,0
748767709,<p>怎么所有接力都没有提前启动的呢</p>,龙五,0,1
748805293,这豁出老命了啊 太强了太强了,Rosalinda,0,0
748826281,解说从第四棒交接就开始说，法国这次无缘奖杯了，然后一直丧一直丧，丧到最后一个弯道，英国妹开始慢下来，觉得有可能能拿到个名次，直到最后欢呼法国冠军[捂脸][捂脸][捂脸]。。。<br>阔怕！,熹熹的乖宝宝,10,1
748867309,跑步从3分20秒开始。,小玉吖,0,0
748927175,为什么短跑能突然一下比别人快这么多…,Jon Claudio,4,0
748930741,<p>至少100米衝刺</p>,踮脚小bian,0,0
748939886,"<p>Elles sont champions d'Europe!!!</p><a class=""comment_sticker"" href=""https://pic2.zhimg.com/v2-fa420fb01533452e9d5f021c52dc6cc5.gif"" data-width="""" data-height="""">[超得意]</a>",Zhang,1,0
748943536,核心都没有脂肪的。跑起来就是舒服,李彭,0,0
748943862,普通人，跑姿，真难，首先腹部没有脂肪，就很难,李彭,3,0
749210467,？？？？？？？？？？？？？？？？<br>从哪出来的[好奇][好奇][好奇],discouple,0,0
749357820,摄影师明显没反应过来啊，倒是解说先激动起来,芽衣是牙医,1,0
749424946,太牛了,金鱼不晚睡,0,0
749951426,magnifique ! magnifique ! elles sont championes d'Europe!,张鹏,1,0
750021988,为什么别人国家练短跑的妹子都这么好看？,HarryDuan,1,0
750098930,看了好几遍,Yuancy武,0,0
750104615,<p>50米？这至少冲刺了150米好吧！</p>,未曾开门曹化淳,0,0
750115808,这人的无氧耐力太强了,Sedio Lee,1,0
750168414,最后时刻开加力了,Peter,1,0
750193247,真是大长腿,周世安,0,0
750221663,<p>好漂亮的运动员，好强的爆发力和稳定性</p>,关耳不远人,2,0
750254324,<p>开挂开的太明显</p>,hai1039,1,0
750956911,最后这个妹子从哪飞出来的？！直接超了好几个人？！,Rayones1,0,1
750969634,<p>波兰队第一棒是谁？</p>,张一二,1,1
751251258,这个为什么不在自己跑道上面跑,1997,0,0
751284119,听解说听的太累了，光看比赛都没那么累,左四儿,0,0
751285503,这颜值……我可以,突突飞,0,0
751339598,看之前就觉得如果只是前三反超，也就一般般，结果果然是视野外反超，厉害！,古韵香沉,2,0
751340266,太牛了，这后程冲刺能力简直可怕！排名一路飙升！实力真强！,马成东,1,0
751683948,职业运动员体能还不能400m满状态跑下来？这最后怎么第一集团突然给机会了,陈玮,0,1
751814451,<p>摄影师重大失误！！！</p>,Frank Cheung,0,0
751971884,数次猜错主角,Mirror,0,0
752504265,欧洲这些队还是菜鸡互啄，如果是美国和牙买加估计会甩他们20米，没可能绝杀,风林火山,0,0
